,ship-city,ship-state,ship-postal-code
37225,SAGAR,Madhya Pradesh,470001.0
37226,PATNA,Bihar,800020.0
37227,RANIGANJ,West Bengal,713358.0
37228,PUDUPAKKAM,Tamil Nadu,603103.0
37229,VELLORE,Tamil Nadu,632009.0
37230,THANE,Maharashtra,400604.0
37231,BALLARI,Karnataka,583101.0
37232,ELURU,Andhra Pradesh,534002.0
37233,ELURU,Andhra Pradesh,534002.0
37234,MUZAFFARPUR,Bihar,842002.0
37235,VINDHYA NAGAR NTPC TOWNSHIP,Madhya Pradesh,486885.0
37236,MYSURU,Karnataka,570017.0
37237,HUBLI,Karnataka,580023.0
37238,PAURI,Uttarakhand,246174.0
37239,PUNE,Maharashtra,411037.0
37240,CHANDRAPUR,Maharashtra,442401.0
37241,MADHUBANI,Bihar,847211.0
37242,HYDERABAD,Telangana,500053.0
37243,MYSURU,Karnataka,570023.0
37244,MUMBAI,Maharashtra,400016.0
37245,Kollam,Kerala,691001.0
37246,HUBLI,Karnataka,580023.0
37247,Saharanpur,Uttar Pradesh,247001.0
37248,NEYVELI,Tamil Nadu,607803.0
37249,Ayoor,Kerala,691533.0
37250,VALVAITHANKOSHTAM,Tamil Nadu,629169.0
37251,KADAPA,Andhra Pradesh,516107.0
37252,PANAJI,Goa,403001.0
37253,Gurgaon,Haryana,122102.0
37254,Bengaluru,Karnataka,560037.0
37255,JOWAI,Meghalaya,793150.0
37256,COIMBATORE,Tamil Nadu,641006.0
37257,THODUPUZHA,Kerala,685584.0
37258,NEW DELHI,Delhi,110034.0
37259,MUMBAI,Maharashtra,400083.0
37260,DEOGHAR,Jharkhand,814112.0
37261,LEH,Ladakh,194101.0
37262,JAMMU,Jammu & Kashmir,180004.0
37263,Ahmedabad,Gujarat,382449.0
